site_name,url,snippet,discovery_source,source_status,vibe_score,deal_title,deal_price,original_price,meh_signals,meh_signal_hits,scrape_method,quality_score,niche,rationale,accepted,rejection_reason
Camofire,https://www.camofire.com,Hunting outdoor daily deal one at a time,seed,new,7,Current Deals,,,daily deal,1,requests,8,Hunting and outdoor gear,"Camofire is a US-based, independently operated website that primarily sells discounted hunting gear and supplies, with a focus on a single daily deal format.",yes,
Woot,https://www.woot.com,Daily deals electronics home tools,seed,new,7,Woot,,,woot,1,requests,9,Daily deals,"Woot is a classic 'one deal a day' site that aligns with the criteria, with a distinct personality and focus on a single discounted product per day.",yes,
Steep & Cheap,https://www.steepandcheap.com,Outdoor gear flash deal daily,seed,new,7,JavaScript is disabled,,,,0,requests,0,,"The website is currently experiencing technical difficulties and is unable to display the deal information, so it cannot be properly evaluated.",no,score 0 < 6
Yugster,https://www.yugster.com,Electronics gadget daily deal,seed,new,7,,,,,0,failed,5,Electronics and gadgets,"The website appears to be a daily deal site for electronics and gadgets, but it lacks the clear single-item format, witty copy, and strong pricing signals that characterize the 'Meh' style of deal sites.",no,score 5 < 6
Touch of Modern,https://www.touchofmodern.com,Men lifestyle daily flash sale,seed,new,7,I love discovering cool new stuff on TouchOfModern.com! Check out my invitation to start your haute hunting.,,,,0,requests,6,Modern lifestyle products,"TouchOfModern appears to be a daily flash sale site focused on modern lifestyle products, but it lacks the clear single-item format and witty personality typical of Meh-style sites.",yes,
Jane,https://jane.com,Women boutique daily deals,seed,new,7,Daily Boutique Deals | Jane.com,$15,,daily deal,1,requests,8,Women's fashion and home goods,"Jane.com is a daily deals website that primarily sells women's fashion and home goods, which aligns with the criteria for the 'one deal a day' / Meh-style site.",yes,
AppSumo,https://appsumo.com,Software deals today only limited,seed,new,7,AppSumo - Discover products. Stay weird.,$49,,,0,requests,9,Software/SaaS,"AppSumo is a well-established daily deal site that offers a single discounted software product each day, with a clear pricing structure and a Meh-style personality.",yes,
BJJHQ,https://www.bjjhq.com,One BJJ gear deal a day,seed,new,7,"Tatami ""Robot"" Kids Grappling Rashguard $12 on BJJHQ. One Great BJJ Gear Deal A Day.",$5,,today only,1,requests,8,Brazilian Jiu-Jitsu (BJJ) gear,"BJJHQ is a US-based independent website that sells one discounted BJJ gear item per day, aligning with the 'one deal a day' format.",yes,
Last Bottle,https://lastbottle.com,Single wine deal per day until gone,seed,new,7,,,,,0,failed,0,,"The website LastBottle.com appears to be a single wine deal per day site, but the live page scrape failed so there is not enough information to evaluate the quality of the deals or the overall site experience.",no,score 0 < 6
Tanga,https://www.tanga.com,Deal of the day since 2006,seed,new,7,American Owned & Operated,$29.99,$49.99,,0,requests,8,Meh-style daily deals,"Tanga is a US-based daily deal site that meets the criteria, offering a single discounted product per day directly to consumers.",yes,
1Sale,https://www.1sale.com,Daily deals flash sale,seed,new,7,"Coupon Codes, Promo Codes, Daily Deals, Save Money Today | 1Sale",$ 9.99,,daily deal,1,requests,8,Meh-style daily deals,"1Sale appears to be a legitimate daily deals website that sells one discounted product per day directly to consumers, meeting the key criteria for the role.",yes,
